name,price
"8 Piecer Bucket, Mega Chips","KES 1,970.00"
16 Piecer Bucket,"KES 3,700.00"
Chicken Filla,KES 660.00
Chicken Filla & Chips,KES 790.00
"Chicken filla, Chips & Soda",KES 860.00
"8 PiecerBucket, mega chips & 1.25Ltr Soda","KES 2,180.00"
4 BBQ Wings,KES 520.00
6 BBQ Wings,KES 730.00
12 BBQ Wings,"KES 1,380.00"
3-Piecer with Regular Chips & 500ml Soda,KES 775.00
1 Piece with Chips,KES 400.00
1 Piecer & 2 Spicy Wings + 350ml Soda,KES 520.00
2 Piecer with Chips,KES 500.00
3 Piecer with Chips & Coleslaw,KES 780.00
6 Piece Family Meal,"KES 1,510.00"
"3 piecer, chips & 500ml soda",KES 860.00
4 Spicy Wingz & Chips,KES 500.00
8 Piecer & Mega Chips,"KES 1,970.00"
"Combo: 3 Piece, Chips & 500ml Soda",KES 860.00
"Combo: 1 Piece, Chips & 500ml Soda",KES 500.00
1 Piece,KES 240.00
2 Piece,KES 460.00
3 Piece,KES 700.00
6 Piecer,"KES 1,310.00"
9 Piecer,"KES 1,970.00"
12 Piecer,"KES 2,610.00"
21 Piecer,"KES 4,560.00"
4 Spicy Wingz,KES 350.00
6 Spicy Wingz,KES 520.00
12 Spicy Wingz,"KES 1,030.00"
1/4 Chicken,KES 420.00
1/4 Chicken & Chips,KES 570.00
1/2 Chicken,KES 780.00
1/2 Chicken & Chips,KES 920.00
Full Chicken - Rotisserie,"KES 1,510.00"
Full Chicken with Large Chips,"KES 1,710.00"
Chicken Burger,KES 560.00
"Combo: Chicken Burger, Chips & 500ml Soda",KES 830.00
Double Chicken Burger,KES 790.00
Double Cheese Burger,KES 920.00
Chilli Chicken Burger,KES 560.00
Chicken Egg Burger,KES 560.00
Value Burger & Chips,KES 370.00
Spicy Chicken Burger,KES 560.00
Plain Chicken Wrap,KES 560.00
Spicy Chicken Wrap,KES 560.00
"Kiddies Drumstick, Chips with Squishy",KES 410.00
"Kiddies Burger, Chips and Squishy",KES 410.00
"Kiddies Bites, Chips and Squishy",KES 410.00
Spicy Rice,KES 200.00
Chips Regular,KES 160.00
Chips Large,KES 210.00
Chips Mega,KES 330.00
Coleslaw Salad,KES 80.00
Green Salad,KES 200.00
Barbeque Sauce,KES 70.00
Mayonnaise,KES 80.00
Chilli Sauce,KES 70.00
Cheese Slice,KES 80.00
Chicken strips with Regular chips,KES 330.00
Soda 500ml,KES 150.00
Mineral Water 500ml,KES 140.00
2 Litre Soda,KES 400.00
1.25 Litre Soda,KES 270.00
Soda 350ml,KES 110.00
Minute Maid Pulpy,KES 200.00
Minute Maid 500ml,KES 200.00
425ml PET Soda,KES 150.00
350ml Club Soda,KES 110.00
500ml Club Soda,KES 150.00
1.25L Club Soda,KES 270.00
2 Ltr Club Soda,KES 400.00
